fire_event_name,job_id,fire_name,date_mode,post_fire_days,sensor,status,job_status
COFFEE POT_date2024-12-16_range21_modecont_sensorlandsat,5643179d-96d5-4425-8833-0e1f3e264c45,COFFEE POT,cont,21,landsat,success,failed
COFFEE POT_date2024-12-16_range30_modecont_sensorlandsat,3be17114-3757-4f38-a860-81a4e3d1c9b8,COFFEE POT,cont,30,landsat,success,failed
COFFEE POT_date2024-12-16_range45_modecont_sensorlandsat,b259da60-6374-48cb-99e0-641d6fe7693b,COFFEE POT,cont,45,landsat,success,failed
COFFEE POT_date2024-12-16_range60_modecont_sensorlandsat,9d6695f8-6432-4a24-8244-adb8cc68e62b,COFFEE POT,cont,60,landsat,success,failed
COFFEE POT_date2024-12-16_range90_modecont_sensorlandsat,993fb660-1008-4945-a7ea-dd31e9503bb1,COFFEE POT,cont,90,landsat,success,failed
SENTINEL_date2024-07-14_range5_modealarm_sensorsentinel-2,954034ed-13fa-44fe-b80a-83c4e14c9a8e,SENTINEL,alarm,5,sentinel-2,success,complete
SENTINEL_date2024-07-14_range10_modealarm_sensorsentinel-2,7038775d-09e7-4658-b14a-100b6888b5ee,SENTINEL,alarm,10,sentinel-2,success,complete
SENTINEL_date2024-07-14_range15_modealarm_sensorsentinel-2,287796d0-fa4b-4cbe-b3e4-26fc2f32f519,SENTINEL,alarm,15,sentinel-2,success,complete
SENTINEL_date2024-07-14_range21_modealarm_sensorsentinel-2,a1c2d4f4-8ede-4d9c-a746-b5aad00795a9,SENTINEL,alarm,21,sentinel-2,success,complete
SENTINEL_date2024-07-14_range30_modealarm_sensorsentinel-2,7654b31d-b3e9-4700-87c8-3b2502ee5cc7,SENTINEL,alarm,30,sentinel-2,success,complete
SENTINEL_date2024-07-14_range45_modealarm_sensorsentinel-2,ed36940a-fa9f-4875-980b-78f2d01587aa,SENTINEL,alarm,45,sentinel-2,success,complete
SENTINEL_date2024-07-14_range60_modealarm_sensorsentinel-2,687dfcb4-73d2-4144-9665-f9aa9c78261d,SENTINEL,alarm,60,sentinel-2,success,complete
SENTINEL_date2024-07-14_range90_modealarm_sensorsentinel-2,1b66e713-f6c6-4499-b78e-86cb2897729c,SENTINEL,alarm,90,sentinel-2,success,complete
SENTINEL_date2024-07-14_range5_modealarm_sensorlandsat,5f2e2d2b-13a5-46b7-aa8c-bf9b4cd428a7,SENTINEL,alarm,5,landsat,success,failed
SENTINEL_date2024-07-14_range10_modealarm_sensorlandsat,bc06328d-bb7b-4dde-8c23-ce53531704ba,SENTINEL,alarm,10,landsat,success,failed
SENTINEL_date2024-07-14_range15_modealarm_sensorlandsat,5149ff2c-628b-4f08-9eaa-6e4ff970f9e4,SENTINEL,alarm,15,landsat,success,failed
SENTINEL_date2024-07-14_range21_modealarm_sensorlandsat,b9ff65be-17bf-4d72-8ba1-6e69ac0de730,SENTINEL,alarm,21,landsat,success,failed
SENTINEL_date2024-07-14_range30_modealarm_sensorlandsat,b188a44c-dfe7-4ac5-affb-6d5a6b4edf91,SENTINEL,alarm,30,landsat,success,failed
SENTINEL_date2024-07-14_range45_modealarm_sensorlandsat,436107bc-f24b-4a0e-b6e7-9abf9d567cc2,SENTINEL,alarm,45,landsat,success,failed
SENTINEL_date2024-07-14_range60_modealarm_sensorlandsat,684f12d7-6e4a-43f3-a938-2bb80b567310,SENTINEL,alarm,60,landsat,success,failed
SENTINEL_date2024-07-14_range90_modealarm_sensorlandsat,c9696184-cafe-487a-8408-5add231e24b5,SENTINEL,alarm,90,landsat,success,failed
SENTINEL_date2024-11-08_range5_modecont_sensorsentinel-2,9463678d-9e1f-4599-90be-f1c6e3dc1616,SENTINEL,cont,5,sentinel-2,success,complete
SENTINEL_date2024-11-08_range10_modecont_sensorsentinel-2,a4ae943c-3f02-4a93-8d4e-a305a57e088d,SENTINEL,cont,10,sentinel-2,success,complete
SENTINEL_date2024-11-08_range15_modecont_sensorsentinel-2,bb396e99-28b2-48d9-a262-2b5edd449027,SENTINEL,cont,15,sentinel-2,success,complete
SENTINEL_date2024-11-08_range21_modecont_sensorsentinel-2,ae83d3fb-28f1-4881-9fd2-f421b2a0724f,SENTINEL,cont,21,sentinel-2,success,complete
SENTINEL_date2024-11-08_range30_modecont_sensorsentinel-2,e383dffc-5b36-4703-8ac0-3c113cfc1aa7,SENTINEL,cont,30,sentinel-2,success,complete
SENTINEL_date2024-11-08_range45_modecont_sensorsentinel-2,bbcf5659-1d7a-4bf7-9164-ab5f19026258,SENTINEL,cont,45,sentinel-2,success,complete
SENTINEL_date2024-11-08_range60_modecont_sensorsentinel-2,7582c55e-dd74-4552-8ee7-87f61ac22e7c,SENTINEL,cont,60,sentinel-2,success,complete
SENTINEL_date2024-11-08_range90_modecont_sensorsentinel-2,6e9ccac8-affc-43b6-b930-efb55eeb5cd3,SENTINEL,cont,90,sentinel-2,success,complete
SENTINEL_date2024-11-08_range5_modecont_sensorlandsat,198ea647-2a6b-4bb2-ad6e-7c07ce7560ce,SENTINEL,cont,5,landsat,success,failed
SENTINEL_date2024-11-08_range10_modecont_sensorlandsat,4cdcedcc-3743-4681-9053-005892aeb1f8,SENTINEL,cont,10,landsat,success,failed
SENTINEL_date2024-11-08_range15_modecont_sensorlandsat,9e140932-dac8-4e02-9a2c-011f388928b6,SENTINEL,cont,15,landsat,success,failed
SENTINEL_date2024-11-08_range21_modecont_sensorlandsat,759b0417-d3d2-4cd9-8027-3946ca3cd30c,SENTINEL,cont,21,landsat,success,failed
SENTINEL_date2024-11-08_range30_modecont_sensorlandsat,9331a34a-0328-429c-b744-33d736a81ec0,SENTINEL,cont,30,landsat,success,failed
SENTINEL_date2024-11-08_range45_modecont_sensorlandsat,84ae3eaf-b23f-4a1f-abc6-f3e6a10782d4,SENTINEL,cont,45,landsat,success,failed
SENTINEL_date2024-11-08_range60_modecont_sensorlandsat,5eb7ec4d-5e27-4f21-a4a6-6411e8e6d59b,SENTINEL,cont,60,landsat,success,failed
SENTINEL_date2024-11-08_range90_modecont_sensorlandsat,1224b91a-8f72-48d5-8f1e-2ebadce936a1,SENTINEL,cont,90,landsat,success,failed
SIMPSON_date2024-07-26_range5_modealarm_sensorsentinel-2,54e9a7de-8d8a-4636-a291-ea38d4b803fb,SIMPSON,alarm,5,sentinel-2,success,complete
SIMPSON_date2024-07-26_range10_modealarm_sensorsentinel-2,0299ce0c-eb87-43de-9632-90a78aad3100,SIMPSON,alarm,10,sentinel-2,success,complete
SIMPSON_date2024-07-26_range15_modealarm_sensorsentinel-2,64047a14-2221-4334-8c27-484162092287,SIMPSON,alarm,15,sentinel-2,success,complete
SIMPSON_date2024-07-26_range21_modealarm_sensorsentinel-2,06c81c1d-12ed-4b2c-af58-dfd8d2ae4fe4,SIMPSON,alarm,21,sentinel-2,success,complete
SIMPSON_date2024-07-26_range30_modealarm_sensorsentinel-2,cd2c2ef9-d4d3-434d-90b2-d888fefc33aa,SIMPSON,alarm,30,sentinel-2,success,complete
SIMPSON_date2024-07-26_range45_modealarm_sensorsentinel-2,8617709e-8cdd-4193-a5e9-1f0432a75792,SIMPSON,alarm,45,sentinel-2,success,complete
SIMPSON_date2024-07-26_range60_modealarm_sensorsentinel-2,8bea7db4-c80d-4dfd-a8df-2d001e27a8e9,SIMPSON,alarm,60,sentinel-2,success,complete
SIMPSON_date2024-07-26_range90_modealarm_sensorsentinel-2,3f9ebed9-79e7-4a36-a5a7-8eaade9293f2,SIMPSON,alarm,90,sentinel-2,success,complete
SIMPSON_date2024-07-26_range5_modealarm_sensorlandsat,d6349aaf-6bb9-4ac3-9fda-944455078f95,SIMPSON,alarm,5,landsat,success,complete
SIMPSON_date2024-07-26_range10_modealarm_sensorlandsat,3a89ca1f-fce3-4f79-ad26-fe874b974463,SIMPSON,alarm,10,landsat,success,complete
SIMPSON_date2024-07-26_range15_modealarm_sensorlandsat,1b0ff5b4-5b47-4ac4-8dbf-e129c1daaf97,SIMPSON,alarm,15,landsat,success,complete
SIMPSON_date2024-07-26_range21_modealarm_sensorlandsat,a94afc36-993a-4032-8f30-3b06c18d79a8,SIMPSON,alarm,21,landsat,success,complete
SIMPSON_date2024-07-26_range30_modealarm_sensorlandsat,c7c0e177-f042-43ea-bab2-55ac0da5d3f1,SIMPSON,alarm,30,landsat,success,complete
SIMPSON_date2024-07-26_range45_modealarm_sensorlandsat,2bc14b13-4792-4be3-81f7-e2196c63f267,SIMPSON,alarm,45,landsat,success,complete
SIMPSON_date2024-07-26_range60_modealarm_sensorlandsat,183efeb0-bbc9-4c93-9436-9d71773385c0,SIMPSON,alarm,60,landsat,success,complete
SIMPSON_date2024-07-26_range90_modealarm_sensorlandsat,0862a6ab-b7e5-4343-9b37-9039a46493ba,SIMPSON,alarm,90,landsat,success,complete
SIMPSON_date2024-09-02_range5_modecont_sensorsentinel-2,78f8f87f-bb21-4bd5-9c28-f4952b8e376b,SIMPSON,cont,5,sentinel-2,success,complete
SIMPSON_date2024-09-02_range10_modecont_sensorsentinel-2,eecbf557-54e6-4f5d-83e9-b172fa05a4c5,SIMPSON,cont,10,sentinel-2,success,complete
SIMPSON_date2024-09-02_range15_modecont_sensorsentinel-2,8d7a7711-8991-48bf-8fb0-a5ee31efcf5c,SIMPSON,cont,15,sentinel-2,success,complete
SIMPSON_date2024-09-02_range21_modecont_sensorsentinel-2,a12a0511-e7bf-45a2-8d76-7df541cee253,SIMPSON,cont,21,sentinel-2,success,complete
SIMPSON_date2024-09-02_range30_modecont_sensorsentinel-2,d5689084-fa52-43fb-8db1-e1ce8b1e9aaf,SIMPSON,cont,30,sentinel-2,success,complete
SIMPSON_date2024-09-02_range45_modecont_sensorsentinel-2,74c9e1eb-3841-439d-8a16-37ca4c2e7d75,SIMPSON,cont,45,sentinel-2,success,complete
SIMPSON_date2024-09-02_range60_modecont_sensorsentinel-2,17c9aa80-9db7-4f64-9a79-b7e01c7d05cf,SIMPSON,cont,60,sentinel-2,success,complete
SIMPSON_date2024-09-02_range90_modecont_sensorsentinel-2,f7c4579a-64bc-4ebf-8dfa-77c02bba449c,SIMPSON,cont,90,sentinel-2,success,complete
SIMPSON_date2024-09-02_range5_modecont_sensorlandsat,fa304056-bdd1-4cfd-a9dc-d3d8fdc60433,SIMPSON,cont,5,landsat,success,failed
SIMPSON_date2024-09-02_range10_modecont_sensorlandsat,b5ffade9-25bf-4dee-943a-ae38f245870e,SIMPSON,cont,10,landsat,success,complete
SIMPSON_date2024-09-02_range15_modecont_sensorlandsat,7dbc132b-1266-4ac6-9066-a6c8f533f07a,SIMPSON,cont,15,landsat,success,complete
SIMPSON_date2024-09-02_range21_modecont_sensorlandsat,5dee9aa7-7309-49bf-8630-835a7a446079,SIMPSON,cont,21,landsat,success,complete
SIMPSON_date2024-09-02_range30_modecont_sensorlandsat,edf1bc22-c61b-4e71-b2a8-89b1fdb7e619,SIMPSON,cont,30,landsat,success,complete
SIMPSON_date2024-09-02_range45_modecont_sensorlandsat,592780d7-41af-4ccb-8d83-b4ecbf94ef9e,SIMPSON,cont,45,landsat,success,complete
SIMPSON_date2024-09-02_range60_modecont_sensorlandsat,9658dd42-de41-403c-b0cd-451b59213176,SIMPSON,cont,60,landsat,success,complete
SIMPSON_date2024-09-02_range90_modecont_sensorlandsat,3279612a-6b7d-42e7-9a42-1b7b0e295446,SIMPSON,cont,90,landsat,success,complete
YORK_date2023-07-28_range5_modealarm_sensorsentinel-2,f15083eb-d95b-49b9-a28a-acafc1c12340,YORK,alarm,5,sentinel-2,success,failed
YORK_date2023-07-28_range10_modealarm_sensorsentinel-2,3b4db89a-c1cd-46cc-b6b6-ccc98f995631,YORK,alarm,10,sentinel-2,success,failed
YORK_date2023-07-28_range15_modealarm_sensorsentinel-2,8d774fa5-dc77-4eb3-ac37-52190f17444e,YORK,alarm,15,sentinel-2,success,failed
YORK_date2023-07-28_range21_modealarm_sensorsentinel-2,0d6e3f62-dbcf-459e-b2c1-2dc99679542b,YORK,alarm,21,sentinel-2,success,failed
YORK_date2023-07-28_range30_modealarm_sensorsentinel-2,3cdf8624-3ec2-46e7-8d7e-ffa682126b1b,YORK,alarm,30,sentinel-2,success,failed
YORK_date2023-07-28_range45_modealarm_sensorsentinel-2,75d55806-0a68-4c3c-8866-8114499e4eee,YORK,alarm,45,sentinel-2,success,failed
YORK_date2023-07-28_range60_modealarm_sensorsentinel-2,dbe05a2c-747f-439d-92cc-6aa394fbe79a,YORK,alarm,60,sentinel-2,success,failed
YORK_date2023-07-28_range90_modealarm_sensorsentinel-2,24d773c5-274b-468e-9da9-fb89b08cd2c0,YORK,alarm,90,sentinel-2,success,failed
YORK_date2023-07-28_range5_modealarm_sensorlandsat,df9701e7-f1ef-4bcf-ab30-adcc82ef906a,YORK,alarm,5,landsat,success,failed
YORK_date2023-07-28_range10_modealarm_sensorlandsat,1a0732f6-87a4-49f0-b3c1-b4738e8ecc1d,YORK,alarm,10,landsat,success,failed
YORK_date2023-07-28_range15_modealarm_sensorlandsat,029b0cae-6ca5-4488-a381-8ef233b73a51,YORK,alarm,15,landsat,success,failed
YORK_date2023-07-28_range21_modealarm_sensorlandsat,b73d5983-a9c9-4bca-a7d4-23f4889a48dc,YORK,alarm,21,landsat,success,failed
YORK_date2023-07-28_range30_modealarm_sensorlandsat,f70108f7-777e-49c0-8490-d575d6429000,YORK,alarm,30,landsat,success,failed
YORK_date2023-07-28_range45_modealarm_sensorlandsat,8df4f51d-668b-4a89-95b5-b12b22a1524f,YORK,alarm,45,landsat,success,failed
YORK_date2023-07-28_range60_modealarm_sensorlandsat,c9f2374a-3a30-4372-8293-1d42029cb944,YORK,alarm,60,landsat,success,failed
YORK_date2023-07-28_range90_modealarm_sensorlandsat,8821e2d2-cfa2-4505-badf-742c45ee4249,YORK,alarm,90,landsat,success,failed
YORK_date2023-08-20_range5_modecont_sensorsentinel-2,9d88ffa2-dab1-44ef-8d47-9dbd7696b849,YORK,cont,5,sentinel-2,success,failed
YORK_date2023-08-20_range10_modecont_sensorsentinel-2,e68b96cf-b43e-4b75-ba5b-bcdd078f3e10,YORK,cont,10,sentinel-2,success,failed
YORK_date2023-08-20_range15_modecont_sensorsentinel-2,e2ccb2ad-f29d-47ec-bf52-8f1c591ba89a,YORK,cont,15,sentinel-2,success,failed
YORK_date2023-08-20_range21_modecont_sensorsentinel-2,ff0a977c-4fc4-4ca8-aad1-fffa5adaa74d,YORK,cont,21,sentinel-2,success,failed
YORK_date2023-08-20_range30_modecont_sensorsentinel-2,3b4ed88f-9350-4c75-a8d0-eea2ccad358f,YORK,cont,30,sentinel-2,success,failed
YORK_date2023-08-20_range45_modecont_sensorsentinel-2,093ba61c-a288-4afb-b1a7-44a8df2d1b8b,YORK,cont,45,sentinel-2,success,failed
YORK_date2023-08-20_range60_modecont_sensorsentinel-2,e6c83d2b-53dc-45d6-8f49-0dbea90428ba,YORK,cont,60,sentinel-2,success,failed
YORK_date2023-08-20_range90_modecont_sensorsentinel-2,25539237-df7b-4f85-8ce5-f61ca2f5fa21,YORK,cont,90,sentinel-2,success,failed
YORK_date2023-08-20_range5_modecont_sensorlandsat,7a9d605c-d258-4fd2-9450-ca4fb39ede24,YORK,cont,5,landsat,success,failed
YORK_date2023-08-20_range10_modecont_sensorlandsat,d73b8917-53ab-4cb8-acc4-267cee443729,YORK,cont,10,landsat,success,failed
YORK_date2023-08-20_range15_modecont_sensorlandsat,a30d635c-9c46-4f4c-b917-2faf475bbf04,YORK,cont,15,landsat,success,failed
YORK_date2023-08-20_range21_modecont_sensorlandsat,461f6701-3471-4a80-b372-b2b2b1411d7a,YORK,cont,21,landsat,success,failed
YORK_date2023-08-20_range30_modecont_sensorlandsat,16e18e5d-008d-45f8-99dc-69f1e26fa0ed,YORK,cont,30,landsat,success,failed
YORK_date2023-08-20_range45_modecont_sensorlandsat,74920621-e1c2-40fd-915d-2a49c9aff1ef,YORK,cont,45,landsat,success,failed
YORK_date2023-08-20_range60_modecont_sensorlandsat,520b36c8-660d-4bec-b8a6-56883287cd20,YORK,cont,60,landsat,success,failed
YORK_date2023-08-20_range90_modecont_sensorlandsat,54cef3a7-6448-41a5-9a61-8ec3e25c5430,YORK,cont,90,landsat,success,failed
REDWOOD_date2023-08-15_range5_modealarm_sensorsentinel-2,c3644c05-9028-4c4a-b2d3-2d5c7115072b,REDWOOD,alarm,5,sentinel-2,success,complete
REDWOOD_date2023-08-15_range10_modealarm_sensorsentinel-2,f11d257c-c35f-4a03-aa5f-713a1f68be81,REDWOOD,alarm,10,sentinel-2,success,complete
REDWOOD_date2023-08-15_range15_modealarm_sensorsentinel-2,310901bd-6557-4ff8-acbe-2bdcde940976,REDWOOD,alarm,15,sentinel-2,success,complete
REDWOOD_date2023-08-15_range21_modealarm_sensorsentinel-2,815181a3-87a8-4067-846b-6986c89a685d,REDWOOD,alarm,21,sentinel-2,success,complete
REDWOOD_date2023-08-15_range30_modealarm_sensorsentinel-2,3ce5996a-3375-4fbc-8545-5ebb334895c7,REDWOOD,alarm,30,sentinel-2,success,complete
REDWOOD_date2023-08-15_range45_modealarm_sensorsentinel-2,4c7942b2-f629-4240-9524-4a387576671b,REDWOOD,alarm,45,sentinel-2,success,complete
REDWOOD_date2023-08-15_range60_modealarm_sensorsentinel-2,647237e3-6e00-42f4-8084-8f94920bbea1,REDWOOD,alarm,60,sentinel-2,success,complete
REDWOOD_date2023-08-15_range90_modealarm_sensorsentinel-2,4725cc3b-5021-493b-812b-7243bb1d7913,REDWOOD,alarm,90,sentinel-2,success,complete
REDWOOD_date2023-08-15_range5_modealarm_sensorlandsat,7ed6ba4d-a64d-4448-ba01-0ba90c794c3e,REDWOOD,alarm,5,landsat,success,complete
REDWOOD_date2023-08-15_range10_modealarm_sensorlandsat,a350bba8-3f1c-4b06-9303-9d1274d6ad49,REDWOOD,alarm,10,landsat,success,complete
REDWOOD_date2023-08-15_range15_modealarm_sensorlandsat,92113673-6ca4-4c43-be8b-d3ab1cd22fec,REDWOOD,alarm,15,landsat,success,complete
REDWOOD_date2023-08-15_range21_modealarm_sensorlandsat,caf84c32-79dd-4cfa-820a-469a52a674ba,REDWOOD,alarm,21,landsat,success,complete
REDWOOD_date2023-08-15_range30_modealarm_sensorlandsat,a04fe441-a346-43b3-ba11-518424ff6732,REDWOOD,alarm,30,landsat,success,complete
REDWOOD_date2023-08-15_range45_modealarm_sensorlandsat,d5be2a00-cf19-41b2-b9be-71634a94bc44,REDWOOD,alarm,45,landsat,success,complete
REDWOOD_date2023-08-15_range60_modealarm_sensorlandsat,126d5fc3-bc3d-4aa8-af08-6ffc4c1c325d,REDWOOD,alarm,60,landsat,success,complete
REDWOOD_date2023-08-15_range90_modealarm_sensorlandsat,7377c8fa-0010-4e93-987f-7fdc0e414989,REDWOOD,alarm,90,landsat,success,complete
REDWOOD_date2023-12-14_range5_modecont_sensorsentinel-2,ec5228d5-9385-494d-9c1f-adb2f43c383c,REDWOOD,cont,5,sentinel-2,success,complete
REDWOOD_date2023-12-14_range10_modecont_sensorsentinel-2,9a735d9f-6f4c-44cf-94b1-5511b04e7547,REDWOOD,cont,10,sentinel-2,success,complete
REDWOOD_date2023-12-14_range15_modecont_sensorsentinel-2,76c1a065-4e78-49a7-9692-8fd98857e6b7,REDWOOD,cont,15,sentinel-2,success,complete
REDWOOD_date2023-12-14_range21_modecont_sensorsentinel-2,143419a7-62d0-43ff-93cb-ff6e90f0050e,REDWOOD,cont,21,sentinel-2,success,complete
REDWOOD_date2023-12-14_range30_modecont_sensorsentinel-2,7b73395c-fe39-42c2-9216-dc13d8b72aac,REDWOOD,cont,30,sentinel-2,success,complete
REDWOOD_date2023-12-14_range45_modecont_sensorsentinel-2,a7e7547e-5402-4241-9d35-a545b6419a93,REDWOOD,cont,45,sentinel-2,success,complete
REDWOOD_date2023-12-14_range60_modecont_sensorsentinel-2,6bfcaf78-ad12-4b80-9a3a-3161deac2500,REDWOOD,cont,60,sentinel-2,success,complete
REDWOOD_date2023-12-14_range90_modecont_sensorsentinel-2,33b33f74-c05f-4d38-9171-7d14508824a4,REDWOOD,cont,90,sentinel-2,success,complete
REDWOOD_date2023-12-14_range5_modecont_sensorlandsat,1e9061e8-71a4-4b1b-b7d1-49309f091844,REDWOOD,cont,5,landsat,success,complete
REDWOOD_date2023-12-14_range10_modecont_sensorlandsat,2c9ab7f1-86b2-4ee5-a865-4d943e9733ab,REDWOOD,cont,10,landsat,success,complete
REDWOOD_date2023-12-14_range15_modecont_sensorlandsat,433a8174-6d70-4813-85e3-e79135e4f64a,REDWOOD,cont,15,landsat,success,complete
REDWOOD_date2023-12-14_range21_modecont_sensorlandsat,df1a169a-e067-4873-910e-1459b2a0ac2c,REDWOOD,cont,21,landsat,success,complete
REDWOOD_date2023-12-14_range30_modecont_sensorlandsat,34b0240e-b591-4743-a8b2-179d0ec64467,REDWOOD,cont,30,landsat,success,complete
REDWOOD_date2023-12-14_range45_modecont_sensorlandsat,9c3a6560-013f-48e6-a055-71bde81900e7,REDWOOD,cont,45,landsat,success,complete
REDWOOD_date2023-12-14_range60_modecont_sensorlandsat,7e5d8958-2075-4bb8-954e-99e4d342f09a,REDWOOD,cont,60,landsat,success,complete
REDWOOD_date2023-12-14_range90_modecont_sensorlandsat,e144d6a4-2725-4f0c-b750-66761d0a2a88,REDWOOD,cont,90,landsat,success,complete
GEOLOGY_date2023-06-10_range5_modealarm_sensorsentinel-2,10b4c4e9-a385-49a6-8e41-338e36e6c9c3,GEOLOGY,alarm,5,sentinel-2,success,complete
GEOLOGY_date2023-06-10_range10_modealarm_sensorsentinel-2,5418470e-fdcd-46be-a7e8-8aeed8b41568,GEOLOGY,alarm,10,sentinel-2,success,complete
GEOLOGY_date2023-06-10_range15_modealarm_sensorsentinel-2,9a98f4fb-34e8-4feb-b880-17ccac42d57c,GEOLOGY,alarm,15,sentinel-2,success,complete
GEOLOGY_date2023-06-10_range21_modealarm_sensorsentinel-2,7e4a4188-8022-4f37-83a9-b4ea5074cf10,GEOLOGY,alarm,21,sentinel-2,success,complete
